RecordID,Datalinks
NGA073,['ftp://ngee.ornl.gov/data/outgoing/soil_physical_chemical_thermal_characterization_council/data']
NGA063,"['ftp://ngee.ornl.gov/data/outgoing/soil_physical_chemical_thermal_characterization_teller/documentation', 'ftp://ngee.ornl.gov/data/outgoing/soil_physical_chemical_thermal_characterization_teller/data', 'http://dx.doi.org/10.5440/1342956']"
NGA062,"['http://dx.doi.org/10.5440/1109232', 'ftp://ngee.ornl.gov/data/outgoing/BGC_soil_core_descriptions_2012-2013_physicochemical_properties/documentation', 'ftp://ngee.ornl.gov/data/outgoing/BGC_soil_core_descriptions_2012-2013_physicochemical_properties/data']"
NGA065,"['ftp://ngee.ornl.gov/data/outgoing/vegetation_dynamics/V_Vegetation_plot_layout_diagram.pdf', 'ftp://ngee.ornl.gov/data/outgoing/vegetation_dynamics/V_soil_temperature_soil_moisture_and_thaw_depth_User_File_v1.pdf', 'ftp://ngee.ornl.gov/data/outgoing/vegetation_dynamics/V_soil_temperature_soil_moisture_thaw_depth_Barrow_2012_v1.csv', 'ftp://ngee.ornl.gov/data/outgoing/vegetation_dynamics/V_Vegetation_plot_locations.csv', 'ftp://ngee.ornl.gov/data/outgoing/vegetation_dynamics/V_soil_temperature_soil_moisture_thaw_depth_Barrow_2013_v1.csv', 'ftp://ngee.ornl.gov/data/outgoing/vegetation_dynamics/V_soil_temperature_30_minutes_Barrow_2012_and_2013_v1.csv', 'http://dx.doi.org/10.5440/1121134']"
NGA066,"['http://dx.doi.org/10.5440/1299259', 'ftp://ngee.ornl.gov/data/outgoing/soil_water_characteristics_of_cores/data', 'ftp://ngee.ornl.gov/data/outgoing/soil_water_characteristics_of_cores/documentation']"
NGA067,"['http://dx.doi.org/10.5440/1126515', 'ftp://ngee.ornl.gov/data/outgoing/subsurface_temp_moisture/documentation', 'ftp://ngee.ornl.gov/data/outgoing/subsurface_temp_moisture/data']"
NGA068,"['http://dx.doi.org/10.5440/1226245', 'ftp://ngee.ornl.gov/data/outgoing/surface_active_layer_pore_water_chemistry_barrow/data', 'http://dx.doi.org/10.1007/s10533-015-0165-5', 'ftp://ngee.ornl.gov/data/outgoing/surface_active_layer_pore_water_chemistry_barrow/documentation']"
NGA069,"['http://dx.doi.org/10.5440/1164893', 'ftp://ngee-arctic.ornl.gov/data/outgoing/hydrology_and_geomorphology/bbusey_surface_meteorology_csv']"
NGA116,"['ftp://ngee.ornl.gov/pub/incoming/NGA116.Vegetation Phenology from PhenoCam v1 (1)20170622_22_06_736.docx', 'ftp://ngee.ornl.gov/pub/incoming/NGA116.PhenoCam_data_descriptor20170622_22_06_459.docx']"
NGA070,"['ftp://ngee.ornl.gov/data/outgoing/time_lapse_photos_beo/documentation/', 'ftp://ngee.ornl.gov/data/outgoing/time_lapse_photos_beo/data/']"
NGA111,[]
NGA109,[]
NGA104,[]
NGA102,[]
NGA105,[]
NGA106,[]
NGA071,"['ftp://ngee.ornl.gov/data/outgoing/BNL_ZPW_prototype_barrow_2016/data', 'http://dx.doi.org/10.5440/1343066', 'ftp://ngee.ornl.gov/data/outgoing/BNL_ZPW_prototype_barrow_2016/documentation']"
NGA502,[]
NGA503,[]
